pair_id,sku_uuid_a,sku_uuid_b,score,comp_source_store,base_source_store,segment,source,seller_type
amantadine-hci-suspension_1141_Unflavored<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Unflavored<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,0.875,petco<>petco,cfspharmacy<>cfspharmacy,pets,ML,1p
amantadine-hci-suspension_1141_Unflavored<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Unflavored<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,0.875,petco<>petco,cfspharmacy<>cfspharmacy,pets,UPC,1p
amantadine-hci-suspension_1141_Unflavored<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Unflavored<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,0.875,petco<>petco,cfspharmacy<>cfspharmacy,pets,MPN,1p
amantadine-hci-suspension_1141_Unflavored<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Unflavored<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,0.875,petco<>petco,cfspharmacy<>cfspharmacy,pets,TRANSITIVE,1p
amantadine-hci-suspension_1141_Venison<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Venison<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,0.87109375,petco<>petco,cfspharmacy<>cfspharmacy,pets,MPN,1p
amantadine-hci-suspension_1141_Venison<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Venison<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,0.87109375,petco<>petco,cfspharmacy<>cfspharmacy,pets,TRANSITIVE,1p
amitriptyline-suspension_959_Liver<>cfspharmacy<>cfspharmacy-260614<>petsupplies4less<>petsupplies4less,amitriptyline-suspension_959_Liver<>cfspharmacy<>cfspharmacy,260614<>petsupplies4less<>petsupplies4less,0.784375,petsupplies4less<>petsupplies4less,cfspharmacy<>cfspharmacy,pets,ML,1p
amitriptyline-suspension_959_Liver<>cfspharmacy<>cfspharmacy-90004<>petmeds<>petmeds,amitriptyline-suspension_959_Liver<>cfspharmacy<>cfspharmacy,90004<>petmeds<>petmeds,0.875,petmeds<>petmeds,cfspharmacy<>cfspharmacy,pets,UPC,1p
amantadine-hci-suspension_1141_Beef/Chicken<>cfspharmacy<>cfspharmacy-3443157<>petco<>petco,amantadine-hci-suspension_1141_Beef/Chicken<>cfspharmacy<>cfspharmacy,3443157<>petco<>petco,0.84765625,petco<>petco,cfspharmacy<>cfspharmacy,pets,MPN,1p
amitriptyline-suspension_959_Chicken<>cfspharmacy<>cfspharmacy-90001<>petmeds<>petmeds,amitriptyline-suspension_959_Chicken<>cfspharmacy<>cfspharmacy,260614<>petsupplies4less<>petsupplies4less,0.97265625,petsupplies4less<>petsupplies4less,cfspharmacy<>cfspharmacy,pets,ML,1p
amitriptyline-suspension_959_Chicken<>cfspharmacy<>cfspharmacy-260614<>petsupplies4less<>petsupplies4less,amitriptyline-suspension_959_Chicken<>cfspharmacy<>cfspharmacy,260614<>petsupplies4less<>petsupplies4less,0.984375,petsupplies4less<>petsupplies4less,cfspharmacy<>cfspharmacy,pets,UPC,1p
