uuid_a,uuid_b,base_upc,comp_upc,base_sku,comp_sku,sku_uuid_a,sku_uuid_b,score,comp_source_store,match_date,answer,queue_name,workflow,inserted_date,year,month,day,segment,base_source_store
045125604207<>000252<>petsuppliesplus<>petsuppliesplus,sku_B06ZYRVV5R<>B06ZYRVV5R<>amazon<>amazon,45125604207,sku_B06ZYRVV5R,252,B06ZYRVV5R,000252<>petsuppliesplus<>petsuppliesplus,B06ZYRVV5R<>amazon<>amazon,0.98828125,amazon_amazon,1644542412,exact_match,potential_customer_queue,fastlane_queue_2,20220211,2022,2,11,pets,petsuppliesplus_petsuppliesplus
015905004527<>008204<>petsuppliesplus<>petsuppliesplus,sku_B004HSQT4W<>B004HSQT4W<>amazon<>amazon,15905004527,-,8204,B004HSQT4W,008204<>petsuppliesplus<>petsuppliesplus,B004HSQT4W<>amazon<>amazon,0.99609375,amazon_amazon,1634523194,exact_match,potential_customer_queue,fastlane_queue_2,20211018,2021,10,18,pets,petsuppliesplus_petsuppliesplus
015905653565<>008252<>petsuppliesplus<>petsuppliesplus,sku_159065356<>159065356<>petsupermarket<>petsupermarket,15905653565,sku_159065356,8252,159065356,008252<>petsuppliesplus<>petsuppliesplus,159065356<>petsupermarket<>petsupermarket,0.98828125,petsupermarket_petsupermarket,1652065261,exact_match,potential_customer_queue,fastlane_queue_2,20220509,2022,5,9,pets,petsuppliesplus_petsuppliesplus
015905653541<>008254<>petsuppliesplus<>petsuppliesplus,sku_159065354<>159065354<>petsupermarket<>petsupermarket,15905653541,sku_159065354,8254,159065354,008254<>petsuppliesplus<>petsuppliesplus,159065354<>petsupermarket<>petsupermarket,0.97265625,petsupermarket_petsupermarket,1652065254,exact_match,potential_customer_queue,fastlane_queue_2,20220509,2022,5,9,pets,petsuppliesplus_petsuppliesplus
015905402132<>008260<>petsuppliesplus<>petsuppliesplus,sku_B00E7G0KFS<>B00E7G0KFS<>amazon<>amazon,15905402132,sku_B00E7G0KFS,8260,B00E7G0KFS,008260<>petsuppliesplus<>petsuppliesplus,B00E7G0KFS<>amazon<>amazon,0.984375,amazon_amazon,1641412592,exact_match,potential_customer_queue,fastlane_queue_2,20220106,2022,1,6,pets,petsuppliesplus_petsuppliesplus
015905402194<>008276<>petsuppliesplus<>petsuppliesplus,sku_B00E7G0LMK<>B00E7G0LMK<>amazon<>amazon,15905402194,sku_B00E7G0LMK,8276,B00E7G0LMK,008276<>petsuppliesplus<>petsuppliesplus,B00E7G0LMK<>amazon<>amazon,0.98046875,amazon_amazon,1641947904,unsure,potential_customer_queue,fastlane_queue_2,20220118,2022,1,18,pets,petsuppliesplus_petsuppliesplus
015905402200<>008280<>petsuppliesplus<>petsuppliesplus,sku_109432137<>109432137<>walmart<>walmart,15905402200,,8280,109432137,008280<>petsuppliesplus<>petsuppliesplus,109432137<>walmart<>walmart,0.99609375,walmart_walmart,1640764582,exact_match,potential_customer_queue,fastlane_queue_2,20211230,2021,12,30,pets,petsuppliesplus_petsuppliesplus
015905062206<>008300<>petsuppliesplus<>petsuppliesplus,110709762250<>B008PO9BB2<>amazon<>amazon,15905062206,110709762250,8300,B008PO9BB2,008300<>petsuppliesplus<>petsuppliesplus,B008PO9BB2<>amazon<>amazon,0.984375,amazon_amazon,1641412587,unsure,potential_customer_queue,fastlane_queue_2,20220106,2022,1,6,pets,petsuppliesplus_petsuppliesplus
015905061179<>008470<>petsuppliesplus<>petsuppliesplus,sku_664790607<>664790607<>walmart<>walmart,15905061179,sku_664790607,8470,664790607,008470<>petsuppliesplus<>petsuppliesplus,664790607<>walmart<>walmart,0.98828125,walmart_walmart,1629511511,exact_match,potential_customer_queue,fastlane_queue_2,20210821,2021,8,21,pets,petsuppliesplus_petsuppliesplus
015905060813<>008481<>petsuppliesplus<>petsuppliesplus,634252046372<>324262280<>walmart<>walmart,15905060813,634252046372,8481,324262280,008481<>petsuppliesplus<>petsuppliesplus,324262280<>walmart<>walmart,0.98046875,walmart_walmart,1629511514,exact_match_with_image,potential_customer_queue,fastlane_queue_2,20210821,2021,8,21,pets,petsuppliesplus_petsuppliesplus
015905060837<>008483<>petsuppliesplus<>petsuppliesplus,733985008500<>542972949<>walmart<>walmart,15905060837,733985008500,8483,542972949,008483<>petsuppliesplus<>petsuppliesplus,542972949<>walmart<>walmart,0.96875,walmart_walmart,1629607308,exact_match,potential_customer_queue,fastlane_queue_2,20210822,2021,8,22,pets,petsuppliesplus_petsuppliesplus
015905060844<>008484<>petsuppliesplus<>petsuppliesplus,sku_159006084<>159006084<>petsupermarket<>petsupermarket,15905060844,sku_159006084,8484,159006084,008484<>petsuppliesplus<>petsuppliesplus,159006084<>petsupermarket<>petsupermarket,0.984375,petsupermarket_petsupermarket,1652065260,exact_match,potential_customer_queue,fastlane_queue_2,20220509,2022,5,9,pets,petsuppliesplus_petsuppliesplus
015905060868<>008486<>petsuppliesplus<>petsuppliesplus,sku_B000YDUAN0<>B000YDUAN0<>amazon<>amazon,15905060868,sku_B000YDUAN0,8486,B000YDUAN0,008486<>petsuppliesplus<>petsuppliesplus,B000YDUAN0<>amazon<>amazon,0.984375,amazon_amazon,1641947904,exact_match,potential_customer_queue,fastlane_queue_2,20220113,2022,1,13,pets,petsuppliesplus_petsuppliesplus
015905060868<>008486<>petsuppliesplus<>petsuppliesplus,sku_B07GVH2MT1<>B07GVH2MT1<>amazon<>amazon,15905060868,sku_B07GVH2MT1,8486,B07GVH2MT1,008486<>petsuppliesplus<>petsuppliesplus,B07GVH2MT1<>amazon<>amazon,0.984375,amazon_amazon,1641412594,not_a_match,potential_customer_queue,fastlane_queue_2,20220106,2022,1,6,pets,petsuppliesplus_petsuppliesplus
015905060875<>008487<>petsuppliesplus<>petsuppliesplus,sku_290868919<>290868919<>walmart<>walmart,15905060875,sku_290868919,8487,290868919,008487<>petsuppliesplus<>petsuppliesplus,290868919<>walmart<>walmart,0.984375,walmart_walmart,1629511510,exact_match,potential_customer_queue,fastlane_queue_2,20210821,2021,8,21,pets,petsuppliesplus_petsuppliesplus
015905060769<>008510<>petsuppliesplus<>petsuppliesplus,sku_159006076<>159006076<>petsupermarket<>petsupermarket,15905060769,sku_159006076,8510,159006076,008510<>petsuppliesplus<>petsuppliesplus,159006076<>petsupermarket<>petsupermarket,0.984375,petsupermarket_petsupermarket,1652065260,exact_match,potential_customer_queue,fastlane_queue_2,20220509,2022,5,9,pets,petsuppliesplus_petsuppliesplus
015905060769<>008510<>petsuppliesplus<>petsuppliesplus,sku_653029962<>653029962<>walmart<>walmart,15905060769,sku_653029962,8510,653029962,008510<>petsuppliesplus<>petsuppliesplus,653029962<>walmart<>walmart,0.98828125,walmart_walmart,1629511511,exact_match,potential_customer_queue,fastlane_queue_2,20210821,2021,8,21,pets,petsuppliesplus_petsuppliesplus
015905061735<>008600<>petsuppliesplus<>petsuppliesplus,sku_241140690<>241140690<>walmart<>walmart,15905061735,sku_241140690,8600,241140690,008600<>petsuppliesplus<>petsuppliesplus,241140690<>walmart<>walmart,0.953125,walmart_walmart,1629607308,not_a_match,potential_customer_queue,fastlane_queue_2,20210822,2021,8,22,pets,petsuppliesplus_petsuppliesplus
