id,pair_id,uuid_a,uuid_b,score,source_type,product_Segment,seller_flag
0,963846<>chewy<>chewy-b0bzyyqbj2<>amazon<>amazon,963846<>chewy<>chewy,b0bzyyqbj2<>amazon<>amazon,0.8639821373238327,ML,pets,1P
1,958478<>chewy<>chewy-b0c8z2vx6h<>amazon<>amazon,958478<>chewy<>chewy,b0c8z2vx6h<>amazon<>amazon,0.2695770395044178,ML,pets,1P
2,956854<>chewy<>chewy-b0ch1ls52w<>amazon<>amazon,956854<>chewy<>chewy,b0ch1ls52w<>amazon<>amazon,0.7131091958532897,ML,pets,1P
3,963702<>chewy<>chewy-b0bh32zck8<>amazon<>amazon,963702<>chewy<>chewy,b0bh32zck8<>amazon<>amazon,0.15231171045993752,ML,pets,1P
4,956998<>chewy<>chewy-b0cbh8x5v3<>amazon<>amazon,956998<>chewy<>chewy,b0cbh8x5v3<>amazon<>amazon,0.4921754540295281,ML,pets,1P
5,957190<>chewy<>chewy-b0bzkpr9sq<>amazon<>amazon,957190<>chewy<>chewy,b0bzkpr9sq<>amazon<>amazon,0.781361692967221,ML,pets,1P
6,959870<>chewy<>chewy-b0c1bvbqp2<>amazon<>amazon,959870<>chewy<>chewy,b0c1bvbqp2<>amazon<>amazon,0.20942527616104045,ML,pets,1P
7,959782<>chewy<>chewy-b0chbc3kz1<>amazon<>amazon,959782<>chewy<>chewy,b0chbc3kz1<>amazon<>amazon,0.4687318016133448,ML,pets,1P
8,958102<>chewy<>chewy-b0cd5qtld1<>amazon<>amazon,958102<>chewy<>chewy,b0cd5qtld1<>amazon<>amazon,0.18392910638074889,ML,pets,1P
9,958702<>chewy<>chewy-b0c9cdpt6d<>amazon<>amazon,958702<>chewy<>chewy,b0c9cdpt6d<>amazon<>amazon,0.3676751016867047,ML,pets,1P
0,963846<>chewy<>chewy-b0bzyyqbj2<>amazon<>amazon,963846<>chewy<>chewy,b0bzyyqbj2<>amazon<>amazon,0.7477919934387054,ML,pets,3P
1,958478<>chewy<>chewy-b0c8z2vx6h<>amazon<>amazon,958478<>chewy<>chewy,b0c8z2vx6h<>amazon<>amazon,0.27337548539833845,ML,pets,3P
2,956854<>chewy<>chewy-b0ch1ls52w<>amazon<>amazon,956854<>chewy<>chewy,b0ch1ls52w<>amazon<>amazon,0.10975970680374258,ML,pets,3P
3,963702<>chewy<>chewy-b0bh32zck8<>amazon<>amazon,963702<>chewy<>chewy,b0bh32zck8<>amazon<>amazon,0.2021052017039502,ML,pets,3P
4,956998<>chewy<>chewy-b0cbh8x5v3<>amazon<>amazon,956998<>chewy<>chewy,b0cbh8x5v3<>amazon<>amazon,0.7830141160488053,ML,pets,3P
5,957190<>chewy<>chewy-b0bzkpr9sq<>amazon<>amazon,957190<>chewy<>chewy,b0bzkpr9sq<>amazon<>amazon,0.3834313972968124,ML,pets,3P
6,959870<>chewy<>chewy-b0c1bvbqp2<>amazon<>amazon,959870<>chewy<>chewy,b0c1bvbqp2<>amazon<>amazon,0.2585451354042173,ML,pets,3P
7,959782<>chewy<>chewy-b0chbc3kz1<>amazon<>amazon,959782<>chewy<>chewy,b0chbc3kz1<>amazon<>amazon,0.7302533733177067,ML,pets,3P
8,958102<>chewy<>chewy-b0cd5qtld1<>amazon<>amazon,958102<>chewy<>chewy,b0cd5qtld1<>amazon<>amazon,0.7381374886239761,ML,pets,3P
9,958702<>chewy<>chewy-b0c9cdpt6d<>amazon<>amazon,958702<>chewy<>chewy,b0c9cdpt6d<>amazon<>amazon,0.25812685788126843,ML,pets,3P
